os,count,date
iPhone,824632,2025-10-01
Android,823894,2025-10-01
iPhone,898768,2025-10-02
Android,890614,2025-10-02
iPhone,1251260,2025-10-03
Android,1105598,2025-10-03
Android,1105993,2025-10-04
iPhone,999161,2025-10-04
iPhone,840622,2025-10-05
Android,743199,2025-10-05
iPhone,557732,2025-10-06
Android,384255,2025-10-06
iPhone,847314,2025-10-07
Android,615893,2025-10-07
iPhone,836857,2025-10-08
Android,725456,2025-10-08
Android,714514,2025-10-09
iPhone,662044,2025-10-09
Android,719837,2025-10-10
iPhone,675302,2025-10-10
iPhone,984310,2025-10-11
Android,834111,2025-10-11
Android,8480,2025-10-12
iPhone,49,2025-10-12
Android,619241,2025-10-13
iPhone,559119,2025-10-13
Android,695395,2025-10-14
iPhone,622665,2025-10-14
iPhone,718349,2025-10-15
Android,696005,2025-10-15
Android,700168,2025-10-16
iPhone,592339,2025-10-16
Android,783064,2025-10-17
iPhone,721041,2025-10-17
iPhone,1189032,2025-10-18
Android,985139,2025-10-18
iPhone,843542,2025-10-19
Android,747555,2025-10-19
Android,725364,2025-10-20
iPhone,625753,2025-10-20
Android,655845,2025-10-21
iPhone,602472,2025-10-21
